orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Hidar 2015,0.0,24.0,211.0,11.320754716981133
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Megabit 2015,2.0,18.0,267.0,6.7164179104477615
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Meskerem 2015,0.0,24.0,206.0,11.594202898550725
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Miazia 2015,4.0,24.0,250.0,9.56175298804781
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Nehase 2014,5.0,26.0,214.0,12.093023255813954
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Sene 2015,4.0,76.0,309.0,24.516129032258064
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tahesas 2015,2.0,16.0,256.0,6.22568093385214
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tikemet 2015,2.0,19.0,194.0,9.743589743589745
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Tir 2015,2.0,25.0,232.0,10.72961373390558
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,R6nsx1xB8wq,Yekatit 2015,1.0,24.0,235.0,10.16949152542373
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Ginbot 2015,9.0,55.0,365.0,15.027322404371585
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hamle 2014,1.0,88.0,330.0,26.586102719033235
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Hidar 2015,1.0,36.0,303.0,11.842105263157894
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Megabit 2015,14.0,34.0,277.0,12.23021582733813
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Meskerem 2015,0.0,56.0,410.0,13.62530413625304
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Miazia 2015,5.0,48.0,331.0,14.457831325301203
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Nehase 2014,7.0,54.0,304.0,17.704918032786885
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Sene 2015,42.0,73.0,409.0,17.804878048780488
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tahesas 2015,1.0,45.0,302.0,14.85148514851485
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tikemet 2015,1.0,34.0,379.0,8.947368421052632
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Tir 2015,2.0,49.0,318.0,15.360501567398119
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,j59J2d3Ym3C,Yekatit 2015,12.0,63.0,318.0,19.74921630094044
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Ginbot 2015,1.0,19.0,133.0,14.17910447761194
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Hamle 2014,0.0,19.0,177.0,10.674157303370785
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Hidar 2015,0.0,12.0,104.0,11.428571428571429
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Megabit 2015,0.0,11.0,128.0,8.527131782945736
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Meskerem 2015,2.0,7.0,79.0,8.75
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Miazia 2015,26.0,11.0,114.0,9.565217391304348
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Nehase 2014,2.0,7.0,95.0,7.291666666666667
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Sene 2015,0.0,36.0,183.0,19.565217391304348
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tahesas 2015,15.0,8.0,76.0,10.38961038961039
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tikemet 2015,0.0,4.0,85.0,4.651162790697675
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Tir 2015,34.0,13.0,115.0,11.206896551724139
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,veWjz5L6CYU,Yekatit 2015,36.0,18.0,135.0,13.23529411764706
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Ginbot 2015,0.0,59.0,257.0,22.868217054263564
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Hamle 2014,2.0,20.0,109.0,18.181818181818183
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Hidar 2015,0.0,19.0,170.0,11.11111111111111
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Megabit 2015,1.0,24.0,212.0,11.267605633802818
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Meskerem 2015,8.0,29.0,169.0,17.058823529411764
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Miazia 2015,3.0,21.0,210.0,9.95260663507109
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Nehase 2014,0.0,20.0,127.0,15.625
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Sene 2015,12.0,73.0,273.0,26.642335766423358
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tahesas 2015,0.0,25.0,201.0,12.376237623762377
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tikemet 2015,3.0,28.0,199.0,14.000000000000002
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Tir 2015,0.0,29.0,189.0,15.263157894736842
Addis Ababa City Administration,Nifas Silk Lafto Sub City,Nifas Silk Lafto Sub City,smjdej6f9a2,Yekatit 2015,3.0,38.0,223.0,16.964285714285715
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Ginbot 2015,4.0,31.0,204.0,15.121951219512194
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Hamle 2014,1.0,31.0,220.0,14.027149321266968
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Hidar 2015,5.0,33.0,284.0,11.578947368421053
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Megabit 2015,1.0,35.0,286.0,12.195121951219512
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Meskerem 2015,2.0,28.0,254.0,10.980392156862745
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Miazia 2015,1.0,24.0,138.0,17.26618705035971
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Nehase 2014,4.0,27.0,196.0,13.705583756345177
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Sene 2015,5.0,55.0,291.0,18.835616438356166
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tahesas 2015,0.0,37.0,293.0,12.585034013605442
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tikemet 2015,1.0,33.0,285.0,11.538461538461538
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tir 2015,0.0,35.0,273.0,12.773722627737227
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Yekatit 2015,0.0,34.0,238.0,14.225941422594143
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Ginbot 2015,0.0,307.0,721.0,42.5207756232687
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Hamle 2014,0.0,73.0,158.0,45.911949685534594
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Hidar 2015,0.0,85.0,314.0,26.984126984126984
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Megabit 2015,0.0,190.0,441.0,42.98642533936652
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Meskerem 2015,0.0,160.0,646.0,24.72952086553323
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Miazia 2015,0.0,239.0,638.0,37.40219092331768
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Nehase 2014,0.0,123.0,402.0,30.52109181141439
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Sene 2015,7.0,196.0,488.0,40.081799591002046
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tahesas 2015,0.0,121.0,502.0,24.055666003976143
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tikemet 2015,1.0,73.0,392.0,18.575063613231553
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tir 2015,0.0,116.0,567.0,20.422535211267608
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Yekatit 2015,1.0,137.0,409.0,33.41463414634146
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Ginbot 2015,1.0,211.0,445.0,47.309417040358746
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Hamle 2014,24.0,193.0,513.0,37.54863813229572
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Hidar 2015,23.0,206.0,586.0,35.09369676320272
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Megabit 2015,8.0,387.0,639.0,60.46875000000001
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Meskerem 2015,4.0,91.0,748.0,12.149532710280374
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Miazia 2015,2.0,498.0,854.0,58.245614035087726
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Nehase 2014,128.0,267.0,517.0,51.54440154440154
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Sene 2015,0.0,343.0,619.0,55.32258064516129
Afar Region,Zone 1 Zone,Afambo Woreda,bWatsmhxeYR,Tahesas 2015,443.0,351.0,777.0,45.11568123393317
