ADM3_PCODE,Eth_Month_Year,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct
ET010103,Megabit 2015,13.8694,38.4381,1592.2,29.17,19.17,24.17,13.349514357734684,27.2
ET010103,Meskerem 2015,13.8694,38.4381,1592.2,25.77,15.77,20.77,102.97411757049818,70.4
ET010103,Miazia 2015,13.8694,38.4381,1592.2,30.67,20.67,25.67,33.04085354850868,32.2
ET010103,Nehase 2014,13.8694,38.4381,1592.2,24.36,14.36,19.36,249.311943326215,86.7
ET010103,Sene 2015,13.8694,38.4381,1592.2,27.66,17.66,22.66,221.96657312778547,64.8
ET010103,Tahesas 2015,13.8694,38.4381,1592.2,25.06,15.06,20.06,6.2801739056365395,43.3
ET010103,Tikemet 2015,13.8694,38.4381,1592.2,26.48,16.48,21.48,26.83382053342861,48.7
ET010103,Tir 2015,13.8694,38.4381,1592.2,25.92,15.92,20.92,6.683344719567809,38.1
ET010103,Yekatit 2015,13.8694,38.4381,1592.2,27.34,17.34,22.34,4.392875936925918,29.0
ET010103,Ginbot 2016,13.8694,38.4381,1592.2,31.58,21.58,26.58,86.7640000486347,36.1
ET010103,Hamle 2015,13.8694,38.4381,1592.2,26.77,16.77,21.77,201.55540955936968,73.5
ET010103,Hidar 2016,13.8694,38.4381,1592.2,26.74,16.74,21.74,17.394793382524835,45.4
ET010103,Megabit 2016,13.8694,38.4381,1592.2,30.7,20.7,25.7,18.96262414281356,28.1
ET010103,Meskerem 2016,13.8694,38.4381,1592.2,27.17,17.17,22.17,90.77338945251708,63.3
ET010103,Miazia 2016,13.8694,38.4381,1592.2,32.21,22.21,27.21,24.62933148576772,25.8
ET010103,Nehase 2015,13.8694,38.4381,1592.2,25.9,15.9,20.9,187.3124497073076,81.3
ET010103,Sene 2016,13.8694,38.4381,1592.2,28.75,18.75,23.75,215.57854955875072,57.1
ET010103,Tahesas 2016,13.8694,38.4381,1592.2,26.69,16.69,21.69,3.5629381979665444,38.1
ET010103,Tikemet 2016,13.8694,38.4381,1592.2,27.41,17.41,22.41,40.953167693521856,50.4
ET010103,Tir 2016,13.8694,38.4381,1592.2,27.4,17.4,22.4,4.569149995742083,34.0
ET010103,Yekatit 2016,13.8694,38.4381,1592.2,29.21,19.21,24.21,8.117214131191975,28.7
ET010103,Ginbot 2017,13.8694,38.4381,1592.2,31.09,21.09,26.09,63.300111642177995,34.0
ET010103,Hamle 2016,13.8694,38.4381,1592.2,25.38,15.38,20.38,221.57888104838707,83.7
ET010103,Hidar 2017,13.8694,38.4381,1592.2,26.44,16.44,21.44,21.908245290034085,45.1
ET010103,Megabit 2017,13.8694,38.4381,1592.2,29.88,19.88,24.88,14.05288752592008,32.3
ET010103,Meskerem 2017,13.8694,38.4381,1592.2,26.26,16.26,21.26,118.57319410547538,71.5
ET010103,Miazia 2017,13.8694,38.4381,1592.2,30.95,20.95,25.95,33.941903139037734,32.0
ET010103,Nehase 2016,13.8694,38.4381,1592.2,24.5,14.5,19.5,280.6271572663545,87.4
ET010103,Sene 2017,13.8694,38.4381,1592.2,29.89,19.89,24.89,80.69359116697285,43.9
ET010103,Tahesas 2017,13.8694,38.4381,1592.2,25.48,15.48,20.48,3.3686782500132644,39.4
ET010103,Tikemet 2017,13.8694,38.4381,1592.2,27.15,17.15,22.15,34.04102708593087,54.8
ET010103,Tir 2017,13.8694,38.4381,1592.2,26.45,16.45,21.45,4.216332757817059,34.9
ET010103,Yekatit 2017,13.8694,38.4381,1592.2,28.71,18.71,23.71,7.089440020316728,34.7
ET010103,Hamle 2017,13.8694,38.4381,1592.2,25.31,15.31,20.31,204.277201161927,82.3
ET010103,Hidar 2018,13.8694,38.4381,1592.2,26.17,16.17,21.17,10.593990044844777,41.9
ET010103,Meskerem 2018,13.8694,38.4381,1592.2,25.53,15.53,20.53,123.85007444423812,75.1
ET010103,Nehase 2017,13.8694,38.4381,1592.2,24.32,14.32,19.32,263.08106131950336,87.5
ET010103,Tahesas 2018,13.8694,38.4381,1592.2,25.6,15.6,20.6,3.270932493873687,39.8
ET010103,Tikemet 2018,13.8694,38.4381,1592.2,26.24,16.24,21.24,30.629979587937047,53.7
ET010103,Tir 2018,13.8694,38.4381,1592.2,25.93,15.93,20.93,3.637897646892658,37.4
ET010104,Ginbot 2014,14.1693,38.3235,1737.1,30.39,20.39,25.39,41.20012176706034,26.3
ET010104,Hamle 2013,14.1693,38.3235,1737.1,23.51,13.51,18.51,241.29431247392932,81.8
ET010104,Hidar 2014,14.1693,38.3235,1737.1,25.74,15.74,20.74,12.339720362577342,34.6
ET010104,Megabit 2014,14.1693,38.3235,1737.1,29.19,19.19,24.19,12.803828943328236,24.1
ET010104,Meskerem 2014,14.1693,38.3235,1737.1,24.64,14.64,19.64,97.26061826146528,65.8
ET010104,Miazia 2014,14.1693,38.3235,1737.1,30.18,20.18,25.18,24.84600944589764,24.6
ET010104,Nehase 2013,14.1693,38.3235,1737.1,23.63,13.63,18.63,211.32007016983567,83.6
ET010104,Sene 2014,14.1693,38.3235,1737.1,26.78,16.78,21.78,148.68962233065676,51.9
ET010104,Tahesas 2014,14.1693,38.3235,1737.1,25.09,15.09,20.09,2.9279097407492705,32.5
ET010104,Tikemet 2014,14.1693,38.3235,1737.1,25.87,15.87,20.87,34.7176859854591,43.2
ET010104,Tir 2014,14.1693,38.3235,1737.1,25.42,15.42,20.42,3.4970503776304183,34.1
ET010104,Yekatit 2014,14.1693,38.3235,1737.1,27.45,17.45,22.45,3.2115861343197087,30.7
ET010104,Ginbot 2015,14.1693,38.3235,1737.1,29.07,19.07,24.07,72.42925718064922,36.2
ET010104,Hamle 2014,14.1693,38.3235,1737.1,22.89,12.89,17.89,271.5475723894605,85.9
ET010104,Hidar 2015,14.1693,38.3235,1737.1,24.95,14.95,19.95,6.9676022573095535,36.9
ET010104,Megabit 2015,14.1693,38.3235,1737.1,27.57,17.57,22.57,12.96763666624664,25.0
ET010104,Meskerem 2015,14.1693,38.3235,1737.1,24.3,14.3,19.3,79.02668673381302,66.2
ET010104,Miazia 2015,14.1693,38.3235,1737.1,29.18,19.18,24.18,32.639050139079586,29.4
ET010104,Nehase 2014,14.1693,38.3235,1737.1,22.84,12.84,17.84,236.0681345610429,86.4
ET010104,Sene 2015,14.1693,38.3235,1737.1,26.06,16.06,21.06,178.8769751402021,61.1
ET010104,Tahesas 2015,14.1693,38.3235,1737.1,24.0,14.0,19.0,2.9080012812630356,38.0
ET010104,Tikemet 2015,14.1693,38.3235,1737.1,25.42,15.42,20.42,18.89143042983415,43.2
ET010104,Tir 2015,14.1693,38.3235,1737.1,24.89,14.89,19.89,3.350558832569568,33.3
ET010104,Yekatit 2015,14.1693,38.3235,1737.1,26.59,16.59,21.59,2.9867972638105793,24.2
ET010104,Ginbot 2016,14.1693,38.3235,1737.1,29.9,19.9,24.9,73.13688648013128,33.7
ET010104,Hamle 2015,14.1693,38.3235,1737.1,25.3,15.3,20.3,207.74900931590656,69.5
ET010104,Hidar 2016,14.1693,38.3235,1737.1,25.27,15.27,20.27,16.552210136303245,45.9
ET010104,Megabit 2016,14.1693,38.3235,1737.1,29.16,19.16,24.16,12.49467510920699,26.2
ET010104,Meskerem 2016,14.1693,38.3235,1737.1,26.3,16.3,21.3,75.97331183592301,55.0
ET010104,Miazia 2016,14.1693,38.3235,1737.1,30.37,20.37,25.37,22.391290715450616,24.3
ET010104,Nehase 2015,14.1693,38.3235,1737.1,24.61,14.61,19.61,178.25742492562625,76.8
ET010104,Sene 2016,14.1693,38.3235,1737.1,27.44,17.44,22.44,193.1476852173712,52.4
ET010104,Tahesas 2016,14.1693,38.3235,1737.1,25.36,15.36,20.36,1.9121290764898824,35.3
ET010104,Tikemet 2016,14.1693,38.3235,1737.1,26.28,16.28,21.28,30.826602855168936,47.9
ET010104,Tir 2016,14.1693,38.3235,1737.1,25.69,15.69,20.69,2.436741573042126,32.7
ET010104,Yekatit 2016,14.1693,38.3235,1737.1,27.47,17.47,22.47,4.184802031179579,26.9
ET010104,Ginbot 2017,14.1693,38.3235,1737.1,29.06,19.06,24.06,53.76215050866704,33.4
ET010104,Hamle 2016,14.1693,38.3235,1737.1,23.74,13.74,18.74,218.97879153921025,83.3
ET010104,Hidar 2017,14.1693,38.3235,1737.1,24.9,14.9,19.9,21.415153802143983,44.3
ET010104,Megabit 2017,14.1693,38.3235,1737.1,28.36,18.36,23.36,12.755044577163284,29.9
ET010104,Meskerem 2017,14.1693,38.3235,1737.1,24.61,14.61,19.61,98.92287355959746,68.1
ET010104,Miazia 2017,14.1693,38.3235,1737.1,29.2,19.2,24.2,31.22856541266917,31.6
ET010104,Nehase 2016,14.1693,38.3235,1737.1,22.87,12.87,17.87,262.9865634396291,87.3
ET010104,Sene 2017,14.1693,38.3235,1737.1,27.93,17.93,22.93,77.46407782554981,42.8
ET010104,Tahesas 2017,14.1693,38.3235,1737.1,24.57,14.57,19.57,1.8653566320162596,35.1
ET010104,Tikemet 2017,14.1693,38.3235,1737.1,25.39,15.39,20.39,29.301267738893905,52.3
ET010104,Tir 2017,14.1693,38.3235,1737.1,25.63,15.63,20.63,2.51845027130093,30.4
ET010104,Yekatit 2017,14.1693,38.3235,1737.1,27.69,17.69,22.69,4.271336181012622,30.3
ET010104,Hamle 2017,14.1693,38.3235,1737.1,23.58,13.58,18.58,206.87149784482756,82.0
ET010104,Hidar 2018,14.1693,38.3235,1737.1,25.01,15.01,20.01,9.157241755094091,36.9
ET010104,Meskerem 2018,14.1693,38.3235,1737.1,23.91,13.91,18.91,119.50161502146484,72.6
ET010104,Nehase 2017,14.1693,38.3235,1737.1,22.74,12.74,17.74,238.69491356498537,87.4
ET010104,Tahesas 2018,14.1693,38.3235,1737.1,24.52,14.52,19.52,1.836857389422492,33.8
ET010104,Tikemet 2018,14.1693,38.3235,1737.1,24.82,14.82,19.82,21.09841128679218,49.0
ET010104,Tir 2018,14.1693,38.3235,1737.1,25.37,15.37,20.37,2.3486728986457934,30.1
ET010105,Ginbot 2014,14.0402,37.9018,1098.6,35.28,25.28,30.28,54.257824941237416,24.3
ET010105,Hamle 2013,14.0402,37.9018,1098.6,28.07,18.07,23.07,270.44953747628085,75.2
ET010105,Hidar 2014,14.0402,37.9018,1098.6,30.26,20.26,25.26,8.90394173416437,33.2
ET010105,Megabit 2014,14.0402,37.9018,1098.6,34.08,24.08,29.08,7.356681647110709,21.4
ET010105,Meskerem 2014,14.0402,37.9018,1098.6,28.73,18.73,23.73,155.78403895790507,66.7
ET010105,Miazia 2014,14.0402,37.9018,1098.6,35.43,25.43,30.43,17.90459615187431,21.0
ET010105,Nehase 2013,14.0402,37.9018,1098.6,27.66,17.66,22.66,245.35136834051497,81.0
ET010105,Sene 2014,14.0402,37.9018,1098.6,31.42,21.42,26.42,209.38925233567892,48.5
ET010105,Tahesas 2014,14.0402,37.9018,1098.6,29.39,19.39,24.39,3.1505920487367076,31.6
ET010105,Tikemet 2014,14.0402,37.9018,1098.6,30.18,20.18,25.18,42.17189625227926,44.3
ET010105,Tir 2014,14.0402,37.9018,1098.6,29.96,19.96,24.96,4.990900944487194,30.9
ET010105,Yekatit 2014,14.0402,37.9018,1098.6,32.2,22.2,27.2,2.224731644371655,27.2
ET010105,Ginbot 2015,14.0402,37.9018,1098.6,34.52,24.52,29.52,75.39222655838209,29.6
ET010105,Hamle 2014,14.0402,37.9018,1098.6,27.17,17.17,22.17,301.5209543999051,81.3
ET010105,Hidar 2015,14.0402,37.9018,1098.6,29.23,19.23,24.23,5.310994091673337,36.8
ET010105,Megabit 2015,14.0402,37.9018,1098.6,32.78,22.78,27.78,6.300444108937677,20.0
ET010105,Meskerem 2015,14.0402,37.9018,1098.6,28.35,18.35,23.35,122.77999753748946,70.4
ET010105,Miazia 2015,14.0402,37.9018,1098.6,34.75,24.75,29.75,20.97767082277089,22.2
ET010105,Nehase 2014,14.0402,37.9018,1098.6,26.79,16.79,21.79,244.79431736572317,84.4
ET010105,Sene 2015,14.0402,37.9018,1098.6,31.48,21.48,26.48,219.1829492969903,53.5
ET010105,Tahesas 2015,14.0402,37.9018,1098.6,28.52,18.52,23.52,3.6814469030429713,36.2
ET010105,Tikemet 2015,14.0402,37.9018,1098.6,29.54,19.54,24.54,25.19667749857314,47.5
ET010105,Tir 2015,14.0402,37.9018,1098.6,29.69,19.69,24.69,5.1008582202638735,31.6
ET010105,Yekatit 2015,14.0402,37.9018,1098.6,31.04,21.04,26.04,1.8648571579008448,23.9
ET010105,Ginbot 2016,14.0402,37.9018,1098.6,35.65,25.65,30.65,86.39779593467512,27.8
ET010105,Hamle 2015,14.0402,37.9018,1098.6,30.67,20.67,25.67,235.59076286764707,60.2
ET010105,Hidar 2016,14.0402,37.9018,1098.6,31.24,21.24,26.24,10.992647206810942,35.2
ET010105,Megabit 2016,14.0402,37.9018,1098.6,34.84,24.84,29.84,5.997169518113865,19.7
ET010105,Meskerem 2016,14.0402,37.9018,1098.6,31.03,21.03,26.03,120.82394539279926,53.8
ET010105,Miazia 2016,14.0402,37.9018,1098.6,36.05,26.05,31.05,15.75516981542701,18.4
ET010105,Nehase 2015,14.0402,37.9018,1098.6,29.15,19.15,24.15,202.90717529451297,73.4
