orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Megabit 2014,9.0,18.0,140.0,12.76595744680851,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Meskerem 2014,2.0,15.0,178.0,8.379888268156424,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Miazia 2014,10.0,21.0,134.0,15.555555555555555,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Nehase 2013,8.0,14.0,154.0,9.032258064516128,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Sene 2014,5.0,33.0,187.0,17.5531914893617,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tahesas 2014,5.0,14.0,134.0,10.37037037037037,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tikemet 2014,9.0,19.0,190.0,9.947643979057592,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Tir 2014,6.0,18.0,147.0,12.162162162162163,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Bole Sub City,Bole Sub City,Bqq3KNXFksZ,Yekatit 2014,12.0,21.0,140.0,14.893617021276595,2022-02-08,2022-03-09,2022 Feb
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Ginbot 2014,6.0,13.0,65.0,19.696969696969695,2022-05-09,2022-06-07,2022 May
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hamle 2013,4.0,9.0,56.0,15.789473684210526,2021-07-08,2021-08-06,2021 Jul
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Hidar 2014,2.0,12.0,56.0,21.052631578947366,2021-11-10,2021-12-09,2021 Nov
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Megabit 2014,6.0,9.0,47.0,18.75,2022-03-10,2022-04-08,2022 Mar
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Meskerem 2014,2.0,9.0,58.0,15.254237288135592,2021-09-11,2021-10-10,2021 Sept
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Miazia 2014,0.0,7.0,45.0,15.217391304347828,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Nehase 2013,18.0,11.0,62.0,17.46031746031746,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Sene 2014,13.0,19.0,65.0,28.78787878787879,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tahesas 2014,4.0,8.0,49.0,16.0,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tikemet 2014,2.0,10.0,59.0,16.666666666666664,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Tir 2014,9.0,13.0,44.0,28.88888888888889,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,fP7LbnZr3ef,Yekatit 2014,10.0,12.0,60.0,19.672131147540984,2022-02-08,2022-03-09,2022 Feb
