Region,Zone,Woreda,Period,Latitude,Longitude,Elevation_m,MaxTemp_C,MinTemp_C,AvgTemp_C,Rainfall_mm,Humidity_pct,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,ADM3_PCODE,climate_source
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2025 Dec,9.0707,38.7392,2675.6,18.96,8.96,13.96,5.536,51.3,fP7LbnZr3ef,Tahesas 2018,24.0,31.0,149.0,20.666666666666668,2025-12-10,2026-01-08,ET140110,direct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2025 Oct,9.0707,38.7392,2675.6,18.32,8.32,13.32,5.197,58.8,fP7LbnZr3ef,Tikemet 2018,73.0,77.0,207.0,37.019230769230774,2025-10-11,2025-11-09,ET140110,direct
Addis Ababa City Administration,Gulele Sub City,Gulele Sub City,2026 Jan,9.0707,38.7392,2675.6,19.29,9.29,14.29,7.604,44.6,fP7LbnZr3ef,Tir 2018,23.0,23.0,114.0,20.0,2026-01-09,2026-02-07,ET140110,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2025 Jul,9.0,38.7594,2328.0,20.08,10.08,15.08,284.301,86.3,aeTzP0ST2hq,Hamle 2017,0.0,55.0,377.0,14.550264550264547,2025-07-08,2025-08-06,ET140106,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2025 Nov,9.0,38.7594,2328.0,20.28,10.28,15.28,5.64,48.2,aeTzP0ST2hq,Hidar 2018,18.0,54.0,501.0,10.756972111553784,2025-11-10,2025-12-09,ET140106,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2025 Sept,9.0,38.7594,2328.0,19.93,9.93,14.93,164.499,77.2,aeTzP0ST2hq,Meskerem 2018,16.0,61.0,464.0,13.118279569892474,2025-09-11,2025-10-10,ET140106,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2025 Aug,9.0,38.7594,2328.0,19.67,9.67,14.67,313.339,86.7,aeTzP0ST2hq,Nehase 2017,7.0,48.0,503.0,9.523809523809524,2025-08-07,2025-09-05,ET140106,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2025 Dec,9.0,38.7594,2328.0,20.56,10.56,15.56,6.595,50.9,aeTzP0ST2hq,Tahesas 2018,1.0,45.0,389.0,11.538461538461538,2025-12-10,2026-01-08,ET140106,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2025 Oct,9.0,38.7594,2328.0,19.88,9.88,14.88,15.245,57.9,aeTzP0ST2hq,Tikemet 2018,4.0,79.0,516.0,15.28046421663443,2025-10-11,2025-11-09,ET140106,direct
Addis Ababa City Administration,Kirkos Sub City,Kirkos Sub City,2026 Jan,9.0,38.7594,2328.0,20.86,10.86,15.86,8.344,44.0,aeTzP0ST2hq,Tir 2018,14.0,31.0,331.0,9.33734939759036,2026-01-09,2026-02-07,ET140106,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2025 Jul,8.9932,38.6852,2400.0,19.6,9.6,14.6,293.475,86.2,R6nsx1xB8wq,Hamle 2017,25.0,68.0,395.0,17.17171717171717,2025-07-08,2025-08-06,ET140103,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2025 Nov,8.9932,38.6852,2400.0,19.96,9.96,14.96,12.037,47.2,R6nsx1xB8wq,Hidar 2018,28.0,71.0,476.0,14.884696016771487,2025-11-10,2025-12-09,ET140103,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2025 Sept,8.9932,38.6852,2400.0,19.46,9.46,14.46,170.639,77.3,R6nsx1xB8wq,Meskerem 2018,4.0,58.0,493.0,11.740890688259109,2025-09-11,2025-10-10,ET140103,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2025 Aug,8.9932,38.6852,2400.0,19.21,9.21,14.21,313.808,86.5,R6nsx1xB8wq,Nehase 2017,0.0,57.0,552.0,10.30741410488246,2025-08-07,2025-09-05,ET140103,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2025 Dec,8.9932,38.6852,2400.0,20.23,10.23,15.23,6.16,49.7,R6nsx1xB8wq,Tahesas 2018,61.0,53.0,388.0,13.624678663239074,2025-12-10,2026-01-08,ET140103,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2025 Oct,8.9932,38.6852,2400.0,19.52,9.52,14.52,14.767,57.5,R6nsx1xB8wq,Tikemet 2018,24.0,115.0,602.0,19.07131011608623,2025-10-11,2025-11-09,ET140103,direct
Addis Ababa City Administration,Kolfe Subcity,Kolfe Subcity,2026 Jan,8.9932,38.6852,2400.0,20.55,10.55,15.55,8.306,43.0,R6nsx1xB8wq,Tir 2018,48.0,30.0,299.0,10.0,2026-01-09,2026-02-07,ET140103,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2025 Jul,9.0048,38.8701,2371.5,20.02,10.02,15.02,275.549,86.0,j59J2d3Ym3C,Hamle 2017,24.0,93.0,634.0,14.645669291338583,2025-07-08,2025-08-06,ET140111,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2025 Nov,9.0048,38.8701,2371.5,19.97,9.97,14.97,2.368,48.9,j59J2d3Ym3C,Hidar 2018,68.0,98.0,753.0,12.9973474801061,2025-11-10,2025-12-09,ET140111,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2025 Sept,9.0048,38.8701,2371.5,19.79,9.79,14.79,136.012,77.0,j59J2d3Ym3C,Meskerem 2018,44.0,59.0,647.0,9.104938271604938,2025-09-11,2025-10-10,ET140111,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2025 Aug,9.0048,38.8701,2371.5,19.58,9.58,14.58,306.865,86.8,j59J2d3Ym3C,Nehase 2017,19.0,68.0,768.0,8.84265279583875,2025-08-07,2025-09-05,ET140111,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2025 Dec,9.0048,38.8701,2371.5,20.21,10.21,15.21,3.558,52.1,j59J2d3Ym3C,Tahesas 2018,70.0,96.0,507.0,18.89763779527559,2025-12-10,2026-01-08,ET140111,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2025 Oct,9.0048,38.8701,2371.5,19.7,9.7,14.7,4.856,57.4,j59J2d3Ym3C,Tikemet 2018,47.0,120.0,670.0,17.883755588673623,2025-10-11,2025-11-09,ET140111,direct
Addis Ababa City Administration,Lemi Kura Sub City,Lemi Kura Sub City,2026 Jan,9.0048,38.8701,2371.5,20.45,10.45,15.45,5.814,45.1,j59J2d3Ym3C,Tir 2018,124.0,83.0,621.0,13.344051446945338,2026-01-09,2026-02-07,ET140111,direct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2025 Jul,9.0024,38.7315,2331.2,19.6,9.6,14.6,284.301,86.2,veWjz5L6CYU,Hamle 2017,14.0,27.0,190.0,14.136125654450264,2025-07-08,2025-08-06,ET140105,direct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2025 Nov,9.0024,38.7315,2331.2,19.96,9.96,14.96,5.64,47.2,veWjz5L6CYU,Hidar 2018,9.0,49.0,274.0,17.81818181818182,2025-11-10,2025-12-09,ET140105,direct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2025 Sept,9.0024,38.7315,2331.2,19.46,9.46,14.46,164.499,77.3,veWjz5L6CYU,Meskerem 2018,21.0,31.0,229.0,13.478260869565217,2025-09-11,2025-10-10,ET140105,direct
Addis Ababa City Administration,Lideta Sub City,Lideta Sub City,2025 Aug,9.0024,38.7315,2331.2,19.21,9.21,14.21,313.339,86.5,veWjz5L6CYU,Nehase 2017,0.0,19.0,176.0,10.734463276836156,2025-08-07,2025-09-05,ET140105,direct
