organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
Ann Lemo Woreda,Central Ethiopian Region,Hadiya Zone,ann lemo,Lemmo|Central Ethiopia/Hadiya|ET070203|score=80 ;; Analemmo|Central Ethiopia/Hadiya|ET070208|score=75 ;; Danan|Somali/Shabelle|ET050603|score=67,,ET070203,auto:in_region(score=80) -> Lemmo
Bonosha Town Administration,Central Ethiopian Region,Hadiya Zone,bonosha,Homosha|Benishangul Gumz/Assosa|ET060307|score=71 ;; Wonosho|Sidama/Sidama|ET160013|score=71 ;; Bilo Nopha|Oromia/Ilu Aba Bora|ET040315|score=70,,,auto:no_match_above_floor -> null climate
East Badawacho Woreda,Central Ethiopian Region,Hadiya Zone,east badawacho,East Imi|Somali/Shabelle|ET050601|score=85 ;; Misrak Badawacho|Central Ethiopia/Hadiya|ET070205|score=74 ;; Siraro Badawacho|Central Ethiopia/Hadiya|ET070216|score=74,,ET070205,auto:in_region(score=74) -> Misrak Badawacho
Fonko Town Administration,Central Ethiopian Region,Hadiya Zone,fonko,Sale Nono|Oromia/Ilu Aba Bora|ET040313|score=67 ;; Nono|Oromia/West Shewa|ET040508|score=66 ;; Nono Benja|Oromia/Jimma|ET040499|score=64,,,auto:no_match_above_floor -> null climate
Homecho Town Administration,Central Ethiopian Region,Hadiya Zone,homecho,Homa|Oromia/West Wellega|ET040117|score=77 ;; Lome (OR)|Oromia/East Shewa|ET040704|score=67 ;; Mecha|Amhara/West Gojam|ET030704|score=66,,,auto:no_match_above_floor -> null climate
West Badewacho Woreda,Central Ethiopian Region,Hadiya Zone,west badewacho,West Imi|Somali/Afder|ET050805|score=85 ;; Mancho|Oromia/Jimma|ET040490|score=72 ;; Wacha|South West Ethiopia/Kefa|ET110214|score=72,,ET050805,auto:global(score=85) -> West Imi
Demboya Town,Central Ethiopian Region,Kembata Zone,demboya,[SUGGESTED] Damboya|Central Ethiopia/Kembata Tembaro|ET070307|score=85 ;; Damboya|Central Ethiopia/Kembata Tembaro|ET070307|score=85 ;; West Dembiya|Amhara/Central Gondar|ET031125|score=77 ;; East Dembia|Amhara/Central Gondar|ET031111|score=69,ET070307,ET070307,auto:suggested(82-87)
Demboya Woreda,Central Ethiopian Region,Kembata Zone,demboya,[SUGGESTED] Damboya|Central Ethiopia/Kembata Tembaro|ET070307|score=85 ;; Damboya|Central Ethiopia/Kembata Tembaro|ET070307|score=85 ;; West Dembiya|Amhara/Central Gondar|ET031125|score=77 ;; East Dembia|Amhara/Central Gondar|ET031111|score=69,ET070307,ET070307,auto:suggested(82-87)
Alemgebeya Town Administration,Central Ethiopian Region,Silte Zone,alemgebeya,Ale|Oromia/Ilu Aba Bora|ET040311|score=90 ;; Alle Special|Southern Ethiopi/Alle|ET071205|score=77 ;; Dale|Sidama/Sidama|ET160004|score=77,,ET040311,auto:global(score=90) -> Ale
East Azernet Berbere Woreda,Central Ethiopian Region,Silte Zone,east azernet berbere,[SUGGESTED] Mierab Azenet Berbere|Central Ethiopia/Siltie|ET072004|score=82 ;; Berbere|Oromia/Bale|ET041114|score=90 ;; East Esite|Amhara/South Gondar|ET030208|score=85 ;; East Dembia|Amhara/Central Gondar|ET031111|score=85,ET072004,ET072004,auto:suggested(82-87)
East Silti Woreda,Central Ethiopian Region,Silte Zone,east silti,Jarso (East Hararghe)|Oromia/East Hararge|ET041002|score=85 ;; Kersa (East Hararge)|Oromia/East Hararge|ET041008|score=85 ;; Siltie|Central Ethiopia/Siltie|ET072002|score=81,,ET072002,auto:in_region(score=81) -> Siltie
Hulbareg Woreda,Central Ethiopian Region,Silte Zone,hulbareg,[SUGGESTED] Wulbareg|Central Ethiopia/Siltie|ET072008|score=87 ;; Wulbareg|Central Ethiopia/Siltie|ET072008|score=87 ;; Barey|Somali/Afder|ET050807|score=72 ;; Hulla|Sidama/Sidama|ET160007|score=72,ET072008,ET072008,auto:suggested(82-87)
Lanfuro Woreda,Central Ethiopian Region,Silte Zone,lanfuro,[SUGGESTED] Lanfero|Central Ethiopia/Siltie|ET072003|score=85 ;; Lanfero|Central Ethiopia/Siltie|ET072003|score=85 ;; Ejersa Lafo|Oromia/West Shewa|ET040590|score=65 ;; Anfilo|Oromia/Kelem Wellega|ET041807|score=61,ET072003,ET072003,auto:suggested(82-87)
