organisationunitname,region_malaria,zone_malaria,match_type,confidence,ADM3_PCODE,ADM3_EN_ref,ADM2_EN_ref,ADM1_EN_ref
Guliso Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040119,Guliso,West Wellega,Oromia
Haru Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040114,Haru,West Wellega,Oromia
Homa Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040117,Homa,West Wellega,Oromia
Jarso Woreda,Oromia Region,West Wollega Zone,fuzzy_in_cohort,90,ET040108,Jarso (West Wellega),West Wellega,Oromia
Kiltu Kara Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040105,Kiltu Kara,West Wellega,Oromia
Lalo Asabi Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040104,Lalo Asabi,West Wellega,Oromia
Leta Sibu Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040197,Leta Sibu,West Wellega,Oromia
Mendi Twon Woreda,Oromia Region,West Wollega Zone,fuzzy_in_cohort,90,ET040198,Mendi town,West Wellega,Oromia
Nole Kaba Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040115,Nole Kaba,West Wellega,Oromia
Seyo Nole Woreda,Oromia Region,West Wollega Zone,fuzzy_in_cohort,88,ET040118,Sayo Nole,West Wellega,Oromia
Yubdo Woreda,Oromia Region,West Wollega Zone,exact_in_cohort,100,ET040112,Yubdo,West Wellega,Oromia
Arbegona Woreda,Sidama Region,Central Sidama Zone,exact_in_cohort,100,ET160003,Arbegona,Sidama,Sidama
Dale Woreda,Sidama Region,Central Sidama Zone,exact_in_cohort,100,ET160004,Dale,Sidama,Sidama
Darara Woreda,Sidama Region,Central Sidama Zone,exact_in_cohort,100,ET160033,Darara,Sidama,Sidama
Loka Abaya Woreda,Sidama Region,Central Sidama Zone,exact_in_cohort,100,ET160037,Loka Abaya,Sidama,Sidama
Shafamo Woreda,Sidama Region,Central Sidama Zone,exact_in_cohort,100,ET160028,Shafamo,Sidama,Sidama
Yirgalem Town,Sidama Region,Central Sidama Zone,exact_in_cohort,100,ET160020,Yirgalem town,Sidama,Sidama
Aroressa Woreda,Sidama Region,Eastern Sidama Zone,fuzzy_in_cohort,93,ET160009,Aroresa,Sidama,Sidama
Bensa Woreda,Sidama Region,Eastern Sidama Zone,exact_in_cohort,100,ET160008,Bensa,Sidama,Sidama
Bona Zuria Woreda,Sidama Region,Eastern Sidama Zone,exact_in_cohort,100,ET160017,Bona Zuria,Sidama,Sidama
Bura Woreda,Sidama Region,Eastern Sidama Zone,exact_in_cohort,100,ET160024,Bura,Sidama,Sidama
Chabe Gambeltu Woreda,Sidama Region,Eastern Sidama Zone,exact_in_cohort,100,ET160029,Chabe Gambeltu,Sidama,Sidama
Chire Woreda,Sidama Region,Eastern Sidama Zone,exact_in_cohort,100,ET160014,Chire,Sidama,Sidama
Daela Woreda,Sidama Region,Eastern Sidama Zone,fuzzy_in_cohort,90,ET160034,Daella,Sidama,Sidama
Hoko Woreda,Sidama Region,Eastern Sidama Zone,fuzzy_in_cohort,88,ET160031,Hokko,Sidama,Sidama
Hawassa Town,Sidama Region,Hawassa City Administration,fuzzy_in_cohort,92,ET160018,Hawasa town,Sidama,Sidama
Bilate Zuria Woreda,Sidama Region,Northern Sidama Zone,exact_in_cohort,100,ET160032,Bilate Zuria,Sidama,Sidama
Borricha Woreda,Sidama Region,Northern Sidama Zone,fuzzy_in_cohort,93,ET160010,Boricha,Sidama,Sidama
Gorche Woreda,Sidama Region,Northern Sidama Zone,exact_in_cohort,100,ET160011,Gorche,Sidama,Sidama
Hawassa Zuriya Woreda,Sidama Region,Northern Sidama Zone,fuzzy_in_cohort,96,ET160002,Hawassa Zuria,Sidama,Sidama
Hawella Woreda,Sidama Region,Northern Sidama Zone,fuzzy_in_cohort,92,ET160023,Hawela,Sidama,Sidama
Leku Town,Sidama Region,Northern Sidama Zone,exact_in_cohort,100,ET160022,Leku town,Sidama,Sidama
Shebedino Woreda,Sidama Region,Northern Sidama Zone,fuzzy_in_cohort,94,ET160001,Shebe Dino,Sidama,Sidama
Wondogenet Town,Sidama Region,Northern Sidama Zone,fuzzy_in_cohort,95,ET160019,Wondo-Genet,Sidama,Sidama
Wondogenet Woreda,Sidama Region,Northern Sidama Zone,fuzzy_in_cohort,95,ET160019,Wondo-Genet,Sidama,Sidama
Aleta Chuko Town,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160016,Aleta Chuko,Sidama,Sidama
Aleta Chuko Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160016,Aleta Chuko,Sidama,Sidama
Aleta Wondo Town,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160021,Aleta Wondo town,Sidama,Sidama
Aleta Wondo Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160021,Aleta Wondo town,Sidama,Sidama
Bursa Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160015,Bursa,Sidama,Sidama
Chirone Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160027,Chirone,Sidama,Sidama
Dara Otilcho Woreda,Sidama Region,Southern Sidama Zone,fuzzy_in_cohort,96,ET160025,Dara Otilicho,Sidama,Sidama
Dara Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160006,Dara,Sidama,Sidama
Hulla Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160007,Hulla,Sidama,Sidama
Teticha Woreda,Sidama Region,Southern Sidama Zone,exact_in_cohort,100,ET160026,Teticha,Sidama,Sidama
Bare Woreda,Somali Region,Afder Zone,fuzzy_in_cohort,90,ET050205,Aw-Bare,Fafan,Somali
God-God Woreda,Somali Region,Afder Zone,exact_in_cohort,100,ET050899,God-God,Afder,Somali
Hargele Woreda,Somali Region,Afder Zone,exact_in_cohort,100,ET050806,Hargele,Afder,Somali
Raso Woreda,Somali Region,Afder Zone,exact_in_cohort,100,ET050809,Raso,Afder,Somali
Hudhet Woreda,Somali Region,Dawa Zone,fuzzy_in_cohort,90,ET051104,Hudet,Daawa,Somali
Moyale Woreda,Somali Region,Dawa Zone,exact_global,95,ET041210,Moyale (OR),Borena,Oromia
Bokh Woreda,Somali Region,Dollo Zone,exact_in_cohort,100,ET050702,Bokh,Doolo,Somali
Daratole Woreda,Somali Region,Dollo Zone,exact_in_cohort,100,ET050788,Daratole,Doolo,Somali
Galadi Woreda,Somali Region,Dollo Zone,exact_in_cohort,100,ET050703,Galadi,Doolo,Somali
Galhamur Woreda,Somali Region,Dollo Zone,exact_in_cohort,100,ET050799,Galhamur,Doolo,Somali
Lehelyuub Woreda,Somali Region,Dollo Zone,fuzzy_in_cohort,90,ET050798,Lehel-Yucub,Doolo,Somali
Warder Woreda,Somali Region,Dollo Zone,exact_in_cohort,100,ET050704,Warder,Doolo,Somali
Fik Woreda,Somali Region,Erar Zone,exact_in_cohort,100,ET050402,Fik,Erer,Somali
Lagahida Woreda,Somali Region,Erar Zone,exact_in_cohort,100,ET050407,Lagahida,Erer,Somali
Qubi Woreda,Somali Region,Erar Zone,exact_in_cohort,100,ET050497,Qubi,Erer,Somali
Salahad Woreda,Somali Region,Erar Zone,exact_in_cohort,100,ET050403,Salahad,Erer,Somali
Wangey Woreda,Somali Region,Erar Zone,exact_in_cohort,100,ET050499,Wangey,Erer,Somali
Yahoob Woreda,Somali Region,Erar Zone,fuzzy_in_cohort,90,ET050498,Yahob,Erer,Somali
Awbare Woreda,Somali Region,Fafan Zone,fuzzy_in_cohort,92,ET050205,Aw-Bare,Fafan,Somali
Goljano Woreda,Somali Region,Fafan Zone,exact_in_cohort,100,ET050290,Goljano,Fafan,Somali
Gursum Woreda,Somali Region,Fafan Zone,exact_global,95,ET041003,Gursum (OR),East Hararge,Oromia
Harawo Woreda,Somali Region,Fafan Zone,exact_in_cohort,100,ET050299,Harawo,Fafan,Somali
Harshin Woreda,Somali Region,Fafan Zone,exact_in_cohort,100,ET050207,Harshin,Fafan,Somali
Jigjiga City,Somali Region,Fafan Zone,exact_in_cohort,100,ET050293,Jigjiga town,Fafan,Somali
Koran Mula Woreda,Somali Region,Fafan Zone,fuzzy_in_cohort,95,ET050297,Koran /Mulla,Fafan,Somali
Shabeley Woreda,Somali Region,Fafan Zone,fuzzy_in_cohort,94,ET050204,Shabeeley,Fafan,Somali
Togwajale town Woreda,Somali Region,Fafan Zone,fuzzy_in_cohort,90,ET050295,Wajale town,Fafan,Somali
Tuliguled Woreda,Somali Region,Fafan Zone,exact_in_cohort,100,ET050283,Tuliguled,Fafan,Somali
Ararso Woreda,Somali Region,Jarar Zone,exact_in_cohort,100,ET050395,Ararso,Jarar,Somali
Aware Woreda,Somali Region,Jarar Zone,exact_in_cohort,100,ET050303,Aware,Jarar,Somali
Bilcilbur Woreda,Somali Region,Jarar Zone,fuzzy_in_cohort,94,ET050306,Bilcil-Bur,Jarar,Somali
Daroor Woreda,Somali Region,Jarar Zone,fuzzy_in_cohort,90,ET050392,Daror,Jarar,Somali
Degahbur Woreda,Somali Region,Jarar Zone,fuzzy_in_cohort,94,ET050307,Degahabur town,Jarar,Somali
Degahbur town Woreda,Somali Region,Jarar Zone,fuzzy_in_cohort,94,ET050307,Degahabur town,Jarar,Somali
Gashamo Woreda,Somali Region,Jarar Zone,exact_in_cohort,100,ET050304,Gashamo,Jarar,Somali
Gunagado Woreda,Somali Region,Jarar Zone,exact_in_cohort,100,ET050305,Gunagado,Jarar,Somali
dig Woreda,Somali Region,Jarar Zone,exact_in_cohort,100,ET050399,Dig,Jarar,Somali
yocale Woreda,Somali Region,Jarar Zone,exact_in_cohort,100,ET050382,Yocale,Jarar,Somali
EL-Ogaden Woreda,Somali Region,Korahay Zone,exact_in_cohort,100,ET050598,El-Ogaden,Korahe,Somali
Goglo Woreda,Somali Region,Korahay Zone,exact_in_cohort,100,ET050595,Goglo,Korahe,Somali
Higloley Woreda,Somali Region,Korahay Zone,exact_in_cohort,100,ET050597,Higloley,Korahe,Somali
Kebridahar Woreda,Somali Region,Korahay Zone,fuzzy_in_cohort,90,ET050502,Kebridehar,Korahe,Somali
Kebridahar town Woreda,Somali Region,Korahay Zone,fuzzy_in_cohort,90,ET050502,Kebridehar,Korahe,Somali
Lasdhankeyre Woreda,Somali Region,Korahay Zone,fuzzy_in_cohort,91,ET050596,Lasdhankayre,Korahe,Somali
Marsin Woreda,Somali Region,Korahay Zone,exact_in_cohort,100,ET050586,Marsin,Korahe,Somali
Shilabo Woreda,Somali Region,Korahay Zone,exact_in_cohort,100,ET050503,Shilabo,Korahe,Somali
Bokolmanyo Woreda,Somali Region,Liben Zone,fuzzy_in_cohort,94,ET050999,Bokolmayo,Liban,Somali
Dekasuftu Woreda,Somali Region,Liben Zone,fuzzy_in_cohort,94,ET050991,Deka Suftu,Liban,Somali
Dolo Ado Woreda,Somali Region,Liben Zone,exact_in_cohort,100,ET050902,Dolo Ado,Liban,Somali
Filtu Woreda,Somali Region,Liben Zone,exact_in_cohort,100,ET050901,Filtu,Liban,Somali
Gura Damole Woreda,Somali Region,Liben Zone,exact_global,95,ET041115,Gura Damole,Bale,Oromia
Ayun Woreda,Somali Region,Nogob Zone,exact_in_cohort,100,ET051001,Ayun,Nogob,Somali
Elwayne Woreda,Somali Region,Nogob Zone,exact_in_cohort,100,ET051002,Elwayne,Nogob,Somali
Garbo Woreda,Somali Region,Nogob Zone,exact_in_cohort,100,ET051003,Garbo,Nogob,Somali
Hararey Woreda,Somali Region,Nogob Zone,exact_in_cohort,100,ET051096,Hararey,Nogob,Somali
Horashagah Woreda,Somali Region,Nogob Zone,fuzzy_in_cohort,94,ET051095,Horshagah,Nogob,Somali
Sagag Woreda,Somali Region,Nogob Zone,exact_in_cohort,100,ET051005,Sagag,Nogob,Somali
Adadle Woreda,Somali Region,Shebelle Zone,exact_in_cohort,100,ET050602,Adadle,Shabelle,Somali
Dhanan Woreda,Somali Region,Shebelle Zone,fuzzy_in_cohort,90,ET050603,Danan,Shabelle,Somali
Ferfer Woreda,Somali Region,Shebelle Zone,exact_in_cohort,100,ET050607,Ferfer,Shabelle,Somali
Godey City,Somali Region,Shebelle Zone,exact_in_cohort,100,ET050696,Godey town,Shabelle,Somali
Godey Woreda,Somali Region,Shebelle Zone,exact_in_cohort,100,ET050696,Godey town,Shabelle,Somali
Mustahil Woreda,Somali Region,Shebelle Zone,exact_in_cohort,100,ET050606,Mustahil,Shabelle,Somali
Ayisha Woreda,Somali Region,Sitti Zone,exact_in_cohort,100,ET050101,Ayisha,Siti,Somali
Erer Woreda,Somali Region,Sitti Zone,fuzzy_in_cohort,90,ET050104,Erer (SM),Siti,Somali
Gablalu Woreda,Somali Region,Sitti Zone,exact_in_cohort,100,ET050199,Gablalu,Siti,Somali
Hadagala Woreda,Somali Region,Sitti Zone,fuzzy_in_cohort,94,ET050106,Hadhagala,Siti,Somali
Shinile Woreda,Somali Region,Sitti Zone,exact_in_cohort,100,ET050103,Shinile,Siti,Somali
gota-biki Woreda,Somali Region,Sitti Zone,exact_in_cohort,100,ET050198,Gota-Biki,Siti,Somali
Jinka Town Administration,South Ethiopia Region,Aari Zone,exact_in_cohort,100,ET070709,Jinka town,South Omo,Southern Ethiopi
North Ari Woreda,South Ethiopia Region,Aari Zone,exact_in_cohort,100,ET070703,North Ari,South Omo,Southern Ethiopi
South Ari Woreda,South Ethiopia Region,Aari Zone,exact_in_cohort,100,ET070702,South Ari,South Omo,Southern Ethiopi
Arbaminch Town Administration,South Ethiopia Region,Arbaminch Town Administration,fuzzy_in_cohort,94,ET071021,Arba Minch town,Gamo,Southern Ethiopi
Dilla Town Administration,South Ethiopia Region,Dilla Town Administration,fuzzy_in_cohort,88,ET070507,Dila town,Gedeo,Southern Ethiopi
Arbaminch Zuria Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,96,ET071015,Arba Minch Zuria,Gamo,Southern Ethiopi
Bonke Woreda,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071014,Bonke,Gamo,Southern Ethiopi
Boreda Woreda,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071004,Boreda,Gamo,Southern Ethiopi
Chencha Town Adminstration,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,90,ET071010,Chencha,Gamo,Southern Ethiopi
Chencha Zuria Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,96,ET071006,Chencha Zuriya,Gamo,Southern Ethiopi
Darmalo Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,93,ET071009,Daramalo,Gamo,Southern Ethiopi
Dita Woreda,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071008,Dita,Gamo,Southern Ethiopi
Gacho Baba Woreda,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071016,Gacho Baba,Gamo,Southern Ethiopi
Garda Martha Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,95,ET071018,Garda Marta,Gamo,Southern Ethiopi
Gerese Town Administration,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071013,Gerese,Gamo,Southern Ethiopi
Gerese Zuriya Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,90,ET071013,Gerese,Gamo,Southern Ethiopi
Kogota Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,90,ET071007,Ezo /Kogota,Gamo,Southern Ethiopi
Kucha Alpha Woreda,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071017,Kucha Alpha,Gamo,Southern Ethiopi
Kucha Zuria Woreda,South Ethiopia Region,Gamo Zone,fuzzy_in_cohort,90,ET071019,Kucha,Gamo,Southern Ethiopi
Mirab Abaya Woreda,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071005,Mirab Abaya,Gamo,Southern Ethiopi
Selamber Town Administration,South Ethiopia Region,Gamo Zone,exact_in_cohort,100,ET071003,Selamber town,Gamo,Southern Ethiopi
Wacha Town Administration,South Ethiopia Region,Gamo Zone,exact_global,95,ET110214,Wacha,Kefa,South West Ethiopia
Derashe Woreda,South Ethiopia Region,Gardula Zone,exact_in_cohort,100,ET072304,Derashe Special,Derashe,Southern Ethiopi
Bule Town Adminstration Health Office,South Ethiopia Region,Gedeo Zone,fuzzy_in_cohort,90,ET070504,Bule,Gedeo,Southern Ethiopi
Bule Woreda,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070504,Bule,Gedeo,Southern Ethiopi
Chelelektu Town,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070508,Chelelektu town,Gedeo,Southern Ethiopi
Dilla Zuria Woreda,South Ethiopia Region,Gedeo Zone,fuzzy_in_cohort,95,ET070505,Dila Zuria,Gedeo,Southern Ethiopi
Gedeb Town Woreda Administration,South Ethiopia Region,Gedeo Zone,fuzzy_in_cohort,90,ET070506,Gedeb,Gedeo,Southern Ethiopi
Gedeb Woreda,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070506,Gedeb,Gedeo,Southern Ethiopi
Rape Woreda,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070509,Rape,Gedeo,Southern Ethiopi
Wenago Town,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070501,Wenago,Gedeo,Southern Ethiopi
Wenago Woreda,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070501,Wenago,Gedeo,Southern Ethiopi
Yirgachefe Town Administration,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070502,Yirgachefe,Gedeo,Southern Ethiopi
Yirgachefe Woreda,South Ethiopia Region,Gedeo Zone,exact_in_cohort,100,ET070502,Yirgachefe,Gedeo,Southern Ethiopi
Denba Gofa Woreda,South Ethiopia Region,Gofa Zone,exact_in_cohort,100,ET071502,Denba Gofa,Gofa,Southern Ethiopi
Geze Gofa Woreda,South Ethiopia Region,Gofa Zone,fuzzy_in_cohort,94,ET071505,Gezei Gofa,Gofa,Southern Ethiopi
Melekoza Woreda,South Ethiopia Region,Gofa Zone,exact_in_cohort,100,ET071501,Melekoza,Gofa,Southern Ethiopi
Melo Gada Woreda,South Ethiopia Region,Gofa Zone,exact_in_cohort,100,ET071509,Melo Gada,Gofa,Southern Ethiopi
Oyida Woreda,South Ethiopia Region,Gofa Zone,fuzzy_in_cohort,90,ET071506,O'yida,Gofa,Southern Ethiopi
Sawla Town Administration,South Ethiopia Region,Gofa Zone,exact_in_cohort,100,ET071507,Sawla town,Gofa,Southern Ethiopi
Uba Debretsehay Woreda,South Ethiopia Region,Gofa Zone,fuzzy_in_cohort,96,ET071504,Uba Debre Tsehay,Gofa,Southern Ethiopi
Zalla Woreda,South Ethiopia Region,Gofa Zone,fuzzy_in_cohort,88,ET071503,Zala,Gofa,Southern Ethiopi
Karat Town Administration,South Ethiopia Region,Konso Zone,exact_in_cohort,100,ET071301,Karat town,Konso,Southern Ethiopi
Karat Zuria Woreda,South Ethiopia Region,Konso Zone,exact_in_cohort,100,ET071303,Karat Zuria,Konso,Southern Ethiopi
Kena Woreda,South Ethiopia Region,Konso Zone,exact_in_cohort,100,ET071304,Kena,Konso,Southern Ethiopi
Segen Zuria Woreda,South Ethiopia Region,Konso Zone,exact_in_cohort,100,ET071302,Segen Zuria,Konso,Southern Ethiopi
Sodo Town Administration,South Ethiopia Region,Sodo Town Administration,exact_in_cohort,100,ET070613,Sodo Town,Wolayita,Southern Ethiopi
Benatsemay Woreda,South Ethiopia Region,South Omo Zone,fuzzy_in_cohort,95,ET070705,Bena Tsemay,South Omo,Southern Ethiopi
Dasenech Woreda,South Ethiopia Region,South Omo Zone,fuzzy_in_cohort,90,ET070706,Dasenech /Kuraz,South Omo,Southern Ethiopi
Hamer Woreda,South Ethiopia Region,South Omo Zone,exact_in_cohort,100,ET070704,Hamer,South Omo,Southern Ethiopi
Malie Woreda,South Ethiopia Region,South Omo Zone,exact_in_cohort,100,ET070707,Malie,South Omo,Southern Ethiopi
Salamago Woreda,South Ethiopia Region,South Omo Zone,exact_in_cohort,100,ET070701,Salamago,South Omo,Southern Ethiopi
Abala Abaya Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,90,ET070621,Abela Abaya,Wolayita,Southern Ethiopi
Areka Town Administration,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070614,Areka town,Wolayita,Southern Ethiopi
Bayra Koysha Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,88,ET070622,Bayera Koisha,Wolayita,Southern Ethiopi
Bedesa Town Administration,South Ethiopia Region,Wolaita Zone,exact_global,95,ET040914,Bedesa,West Hararge,Oromia
Boditi Town Administration,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070615,Boditi town,Wolayita,Southern Ethiopi
Boloso Sore Woreda,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070601,Boloso Sore,Wolayita,Southern Ethiopi
Bolosso Bombe Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,96,ET070608,Boloso Bombe,Wolayita,Southern Ethiopi
Bombe Town Administration,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,90,ET070608,Boloso Bombe,Wolayita,Southern Ethiopi
Damot Gale Woreda,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070602,Damot Gale,Wolayita,Southern Ethiopi
Damot Pulassa Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,92,ET070611,Damot Pullasa,Wolayita,Southern Ethiopi
Damot Sore Woreda,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070609,Damot Sore,Wolayita,Southern Ethiopi
Damot Woyide Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,95,ET070603,Damot Woide,Wolayita,Southern Ethiopi
Duguna Fango Woreda,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070612,Duguna Fango,Wolayita,Southern Ethiopi
Gesuba Town Administration,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070617,Gesuba town,Wolayita,Southern Ethiopi
Gununo Town Administration,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,90,ET070618,Gununo Hamus town,Wolayita,Southern Ethiopi
Hobicha Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,90,ET070619,Hobicha Abaya,Wolayita,Southern Ethiopi
Humbo Woreda,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070604,Humbo,Wolayita,Southern Ethiopi
Kawo Koyisha Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,95,ET070620,Kawo Koisha,Wolayita,Southern Ethiopi
Kindo Didaye Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,88,ET070610,Kindo Daddaye,Wolayita,Southern Ethiopi
Kindo Koyisha Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,92,ET070606,Kindo Koyesha,Wolayita,Southern Ethiopi
Sodo Zuriya Woreda,South Ethiopia Region,Wolaita Zone,fuzzy_in_cohort,95,ET070605,Sodo Zuria,Wolayita,Southern Ethiopi
Tebela Town Administration,South Ethiopia Region,Wolaita Zone,exact_in_cohort,100,ET070616,Tebela town,Wolayita,Southern Ethiopi
Gide Bench Worda,South West Ethiopia Region,Bench Sheko Zone,fuzzy_in_cohort,90,ET110306,Gidi Bench,Bench Sheko,South West Ethiopia
Gura Ferda worda,South West Ethiopia Region,Bench Sheko Zone,fuzzy_in_cohort,90,ET110302,Gurafereda,Bench Sheko,South West Ethiopia
Mizan Aman Town Administration,South West Ethiopia Region,Bench Sheko Zone,exact_in_cohort,100,ET110307,Mizan Aman town,Bench Sheko,South West Ethiopia
Sheko Town Administration,South West Ethiopia Region,Bench Sheko Zone,exact_in_cohort,100,ET110301,Sheko,Bench Sheko,South West Ethiopia
Sheko Woreda,South West Ethiopia Region,Bench Sheko Zone,exact_in_cohort,100,ET110301,Sheko,Bench Sheko,South West Ethiopia
Shey Bench Worda,South West Ethiopia Region,Bench Sheko Zone,fuzzy_in_cohort,90,ET110304,Shay Bench,Bench Sheko,South West Ethiopia
Disa Woreda,South West Ethiopia Region,Dawro Zone,exact_in_cohort,100,ET110409,Disa,Dawuro,South West Ethiopia
Gena Bosa Woreda,South West Ethiopia Region,Dawro Zone,fuzzy_in_cohort,90,ET110404,Gena,Dawuro,South West Ethiopia
Gesa Town Administration,South West Ethiopia Region,Dawro Zone,exact_in_cohort,100,ET110412,Gesa town,Dawuro,South West Ethiopia
Isara Woreda,South West Ethiopia Region,Dawro Zone,exact_in_cohort,100,ET110405,Isara,Dawuro,South West Ethiopia
Loma Bosa Woreda,South West Ethiopia Region,Dawro Zone,fuzzy_in_cohort,90,ET110403,Loma,Dawuro,South West Ethiopia
Mareka Woreda,South West Ethiopia Region,Dawro Zone,exact_in_cohort,100,ET110402,Mareka,Dawuro,South West Ethiopia
Mari mansa Woreda,South West Ethiopia Region,Dawro Zone,exact_in_cohort,100,ET110408,Mari Mansa,Dawuro,South West Ethiopia
Tarcha zuriya Woreda,South West Ethiopia Region,Dawro Zone,fuzzy_in_cohort,92,ET110407,Tercha Zuriya,Dawuro,South West Ethiopia
Tercha Town Adiministration,South West Ethiopia Region,Dawro Zone,fuzzy_in_cohort,90,ET110411,Tercha town,Dawuro,South West Ethiopia
Tocha Woreda,South West Ethiopia Region,Dawro Zone,exact_in_cohort,100,ET110401,Tocha,Dawuro,South West Ethiopia
Zaba Gazo Woreda,South West Ethiopia Region,Dawro Zone,fuzzy_in_cohort,94,ET110410,Zabagazo,Dawuro,South West Ethiopia
Adiyo Woreda,South West Ethiopia Region,Kaffa Zone,fuzzy_in_cohort,90,ET110205,Adiyio,Kefa,South West Ethiopia
Bita Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110210,Bita,Kefa,South West Ethiopia
Bonga Town,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110211,Bonga town,Kefa,South West Ethiopia
Chena Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110209,Chena,Kefa,South West Ethiopia
Cheta Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110207,Cheta,Kefa,South West Ethiopia
Decha Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110208,Decha,Kefa,South West Ethiopia
Gesha Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110202,Gesha,Kefa,South West Ethiopia
Gewata Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110203,Gewata,Kefa,South West Ethiopia
Gimbo Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110204,Gimbo,Kefa,South West Ethiopia
Goba woreda,South West Ethiopia Region,Kaffa Zone,fuzzy_in_cohort,90,ET110212,Goba (SP),Kefa,South West Ethiopia
Saylem Woreda,South West Ethiopia Region,Kaffa Zone,exact_in_cohort,100,ET110201,Saylem,Kefa,South West Ethiopia
Wacha Town Adminstration,South West Ethiopia Region,Kaffa Zone,fuzzy_in_cohort,90,ET110214,Wacha,Kefa,South West Ethiopia
Ameya Town Administration,South West Ethiopia Region,Konta Zone,exact_global,95,ET041301,Ameya,South West Shewa,Oromia
Konta Koysha woreda,South West Ethiopia Region,Konta Zone,fuzzy_in_cohort,90,ET110601,Konta,Konta Special,South West Ethiopia
Anderacha Woreda,South West Ethiopia Region,Sheka Zone,exact_in_cohort,100,ET110101,Anderacha,Sheka,South West Ethiopia
Masha Town Administration,South West Ethiopia Region,Sheka Zone,exact_in_cohort,100,ET110102,Masha,Sheka,South West Ethiopia
